,authorDisplayName,publishedAt,likeCount,viewerRating,totalReplyCount,authorChannelURL,comment
110,Ivy and Evie,2019-02-22T19:59:50.000Z,0,none,0,http://www.youtube.com/channel/UC-5Bxfc_09-VLSZjP8CmgYg,Hi
111,Jai Sharma,2019-02-21T07:03:17.000Z,0,none,0,http://www.youtube.com/channel/UCKMfp5T4DYNwoX9R3OOpB6Q,Hi
112,somecoolyoutuberwithnosubsorvideosbecauseitdoesn'thaveachannel,2019-02-19T05:31:47.000Z,3,none,0,http://www.youtube.com/channel/UCjvUsSZrMJXEHRXZGursApw,"To anyone confused:

justine calls the 12” MacBook the “MacBook Air” because of its small size. the laptop she talks about (e.g. the butterfly mechanism keyboard) is not the MacBook Air."
113,mohanad Alzumaily,2019-02-18T19:25:13.000Z,0,none,0,http://www.youtube.com/channel/UC8LqHwNh2983SC8bcSyJtKQ,Don't open the box ever
114,Isabella Feilles,2019-02-18T11:28:35.000Z,1,none,0,http://www.youtube.com/channel/UCLuZzTJzRRiG6EutXCrRRaA,I LOVE IT its a big upgrade and i thought the light up apple sign was cringy
115,xXRomeoXx Gaming and more,2019-02-17T19:05:35.000Z,2,none,1,http://www.youtube.com/channel/UCt9UEc2Y8NmdXk1-0QNkG3Q,I just got one today!!!!! It is amazing it is a MacBook Pro 15 inches with a touchbar 💻
116,Jake Paul,2019-02-15T10:29:57.000Z,0,none,0,http://www.youtube.com/channel/UC7SmZ9_p6Hdpx97npkpC8Ig,Yes there is a cable
117,Jake Paul,2019-02-15T10:24:54.000Z,0,none,0,http://www.youtube.com/channel/UC7SmZ9_p6Hdpx97npkpC8Ig,You already have an imac
118,simplysammie,2019-02-08T09:02:48.000Z,1,none,0,http://www.youtube.com/channel/UCfLGuYBROlLpz5U3xLwmQiw,2019????
119,Emily Ramirez,2019-01-31T19:24:26.000Z,0,none,0,http://www.youtube.com/channel/UCUGwv3gqo5yl8tFtg58FbuA,Can you use the apple pencil
120,Natalie R,2019-01-30T18:22:18.000Z,0,none,0,http://www.youtube.com/channel/UCaplAXKrGzrWYLUnJmjCfjw,It dosent even have a smell.. WELL YEA I HOPE NOT
121,Humayd Shahard,2019-01-27T16:10:40.000Z,0,none,0,http://www.youtube.com/channel/UClNzBNmkTrVeNPgTyoF0_5w,I Hate You
122,Winternowz 温特诺斯,2019-01-27T15:59:53.000Z,0,none,0,http://www.youtube.com/channel/UChpmNPuZ131jhqrNFvUgjEg,Batman is the season for the season to come back to the season and then I will get it to ya ya know ya ya yo ya ya know ya ya yo ya ya know ya ya yo ya ya know ya ya yo ya ya know ya ya yo ya ya know ya ya yo ya ya know ya ya yo ya ya know ya what ya ya yo ya ya know ya ya yo ya ya know ya ya yo ya ya know ya ya yo ya ya know ya ya yo ya ya know ya ya yo ya ya know ya ya yo ya ya know ya ya yo ya ya know ya ya yo ya ya know ya ya yo ya ya know ya ya bro yo ya ya know ya ya yo ya ya know ya ya yo ya ya bro lol omg was a good night I got a little tmore this is my first day in a new year and a new year of this series I know I have the same name and it was just like
123,Winternowz 温特诺斯,2019-01-27T15:57:58.000Z,0,none,0,http://www.youtube.com/channel/UChpmNPuZ131jhqrNFvUgjEg,Imma go to get my dad to get my homework Done ✅ was that good for ya lol 😝 is my season for ya girl and a girl 👧 was my day to get it done ✅ ur all I love to love is the human mind I can imagine how good you will be in your new world 🌍 this season I am a great 👍 for ya man 👨 is
124,JG Everything,2019-01-27T02:24:42.000Z,0,none,0,http://www.youtube.com/channel/UCGhulhRR60A9V4WSs5Q7stQ,Who else loves when she smells apple products
125,Mathias Gerin,2019-01-23T22:16:46.000Z,7,none,1,http://www.youtube.com/channel/UCx22AzzyUIEaUihWUY7cOUw,"Damn, Steve Jobs still giving these hoes orgasms even from the grave..."
126,Jay Gonzalez,2019-01-23T01:21:21.000Z,0,none,0,http://www.youtube.com/channel/UCMBBJYnsKwprYf9_y7b4mKA,How come in another video that I watched a girl got the same thing and the inside of her box was black and had different things inside?
127,shadow gamer,2019-01-20T17:10:44.000Z,0,none,0,http://www.youtube.com/channel/UCAgB9EUCmgCsEb4p7YkS6CQ,ima get imacpro and macbookpro 15 inch with touch bar and touch id
128,Cuttiepie Kittenlover,2019-01-18T02:59:36.000Z,0,none,0,http://www.youtube.com/channel/UCoIJUsUEGuhHJsWE9xBWZ8Q,Awe I got a Mac book pro Touch Bar 😱your so fun
129,naqeeb Bw,2019-01-13T11:18:52.000Z,0,none,0,http://www.youtube.com/channel/UCbOEIO6pnS7i2ImKcMtP-6Q,Hiiiii
130,Lindy's World,2019-01-09T17:22:23.000Z,0,none,0,http://www.youtube.com/channel/UCHbcZYf-5zaFYoCdk3bfFnw,i have the same i got for chrismas
131,Thet Wuon Cyd,2019-01-06T22:04:34.000Z,0,none,0,http://www.youtube.com/channel/UCDn9ZX1q2LtCiC53g_orkug,"Lol
Sierra instead of siri"
132,Luna Bonus,2019-01-03T20:27:14.000Z,0,none,0,http://www.youtube.com/channel/UClvQFxfU-d7XQHoqLZbuW7w,I like You are Videos iJustine 🤗❤️
133,Carter Higgins,2019-01-03T04:29:25.000Z,0,none,0,http://www.youtube.com/channel/UC2X4Zl1SgIyH5NWO41RGTeA,9:01 new language?
134,Euniah Kwamboka,2019-01-02T18:58:19.000Z,0,none,0,http://www.youtube.com/channel/UClWAK6Tiy8Iln8cdpTmPCOw,"It,s cool cause you are my inspiration and role model"
135,Euniah Kwamboka,2019-01-02T18:48:52.000Z,0,none,1,http://www.youtube.com/channel/UClWAK6Tiy8Iln8cdpTmPCOw,You're really awsome
136,Yasmine Chepl,2018-12-25T20:57:03.000Z,0,none,0,http://www.youtube.com/channel/UC7ltDkgpk6CVrzyqMPNkhvA,this videos helps  a lot I just got my new macbook pro  today and I watched your video. you are so funny and I can't wait to watch another video of yours
137,Shobha Kondawar,2018-12-25T08:18:05.000Z,0,none,0,http://www.youtube.com/channel/UCCWP4Xo0Jo6TWRWDN4epGnA,You have so many laptops what are doing with these laptop
138,ALL2SERVICES,2018-12-22T18:44:21.000Z,0,none,0,http://www.youtube.com/channel/UCfknAfP9pAjTTA5euHR1jjA,Why so overaction when Opening a laptop box????😂😂😂😘😘😘😨😨😨😨 That's so .......
139,Lavell Etheridge,2018-12-17T21:06:25.000Z,0,none,0,http://www.youtube.com/channel/UCAJYMLq9_KGm9wo9b-u4Ktg,can you do a review on a surface laptop 2 please.
140,IHeartcake,2018-12-14T02:20:17.000Z,0,none,0,http://www.youtube.com/channel/UC8tMrzNYAdv_Iqb3K6Nm1ZA,"I am watching this video, on a 2018 MacBook Pro with Touch Bar! 💻 ❤️"
